127.0.0.1 - - [19/Nov/2020:10:16:01 -0600] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:16:02 -0600] "GET /JojoShack/search.html HTTP/1.1" 200 933
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:16:06 -0600] "GET /JojoShack/search.html?keyword=Hello HTTP/1.1" 200 933
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:16:33 -0600] "GET /JojoShack/search.html HTTP/1.1" 200 933
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:16:34 -0600] "GET /JojoShack/search.html HTTP/1.1" 200 933
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:16:35 -0600] "GET /JojoShack/search.html HTTP/1.1" 200 933
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:16:38 -0600] "GET /JojoShack/search.html HTTP/1.1" 200 918
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:16:40 -0600] "GET /JojoShack/search.html?keyword=d HTTP/1.1" 200 918
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:16:43 -0600] "GET /JojoShack/search.html HTTP/1.1" 200 918
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:18:18 -0600] "GET /JojoShack/search.html HTTP/1.1" 200 918
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:18:20 -0600] "GET /JojoShack/search.html HTTP/1.1" 200 918
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:18:22 -0600] "GET /JojoShack/search.html HTTP/1.1" 200 918
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:19:00 -0600] "GET /JojoShack/search.html HTTP/1.1" 200 975
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:19:05 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:19:25 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:19:58 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:20:33 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:20:34 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:20:56 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:21:43 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:23:07 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 789
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:25:10 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:25:35 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 960
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:25:42 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 960
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:25:42 -0600] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:26:43 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1070
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:26:50 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1070
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:27:16 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1097
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:27:21 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1097
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:27:22 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1097
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:28:08 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1097
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:28:12 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1097
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:28:14 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1097
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:28:21 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1097
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:28:52 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1112
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:28:55 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1112
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:29:05 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1097
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:29:22 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1124
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:29:26 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1124
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:29:27 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1124
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:29:29 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1124
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:29:36 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1124
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:29:38 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1124
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:31:13 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:31:26 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:31:28 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:31:30 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:31:34 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1003
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:32:20 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1019
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:34:32 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1197
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:34:35 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1197
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:35:31 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:36:06 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1361
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:36:14 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1361
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:36:17 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1361
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:36:19 -0600] "GET /JojoShack/search.html HTTP/1.1" 200 975
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:37:00 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1315
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:37:45 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1311
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:37:46 -0600] "GET /JojoShack/search.html? HTTP/1.1" 200 975
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:39:06 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1378
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:39:35 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1311
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:41:58 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1279
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:42:09 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1426
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:42:28 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1311
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:43:15 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:43:42 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1432
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:44:22 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1433
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:44:44 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1436
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:45:43 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1455
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:45:46 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1455
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:46:00 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1470
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:46:09 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1447
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:46:12 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1447
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:46:28 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1467
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:46:51 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1541
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:47:11 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1561
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:47:16 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1564
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:47:20 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1564
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:47:48 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1563
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:47:53 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1563
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:48:40 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1607
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:48:45 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1607
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:48:47 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1607
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:49:24 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1686
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:49:26 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1686
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:50:11 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1610
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:50:13 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1610
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:52:15 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1610
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:52:18 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1610
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:52:20 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1610
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:52:24 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1506
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:52:56 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1490
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:53:25 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1554
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:53:43 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1574
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:53:45 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1574
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:53:48 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1574
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:53:50 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1574
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:54:15 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1574
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:54:16 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1574
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:54:23 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1584
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:54:46 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1601
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:55:04 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1673
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:55:08 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1673
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:55:26 -0600] "GET /JojoShack/search.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:55:29 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1708
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:55:31 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1708
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:56:13 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1722
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:56:17 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1722
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:56:44 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1837
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:56:48 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1837
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:56:50 -0600] "GET /JojoShack/search.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:57:06 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1793
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:57:08 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1793
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:57:21 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1719
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:57:23 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1719
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:57:43 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1696
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:57:53 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1721
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:58:15 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1672
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:59:47 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1678
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:59:48 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1678
0:0:0:0:0:0:0:1 - - [19/Nov/2020:10:59:52 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1683
0:0:0:0:0:0:0:1 - - [19/Nov/2020:11:01:14 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [19/Nov/2020:11:01:22 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1819
0:0:0:0:0:0:0:1 - - [19/Nov/2020:11:01:25 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1819
0:0:0:0:0:0:0:1 - - [19/Nov/2020:11:02:20 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1788
0:0:0:0:0:0:0:1 - - [19/Nov/2020:11:02:27 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1682
0:0:0:0:0:0:0:1 - - [19/Nov/2020:11:02:46 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1682
0:0:0:0:0:0:0:1 - - [19/Nov/2020:11:03:22 -0600] "GET /JojoShack/search.html HTTP/1.1" 200 1455
0:0:0:0:0:0:0:1 - - [19/Nov/2020:11:03:24 -0600] "GET /JojoShack/search.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2020:11:03:27 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2020:11:03:33 -0600] "GET /JojoShack/search.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2020:11:03:45 -0600] "GET /JojoShack/search.html HTTP/1.1" 200 1455
0:0:0:0:0:0:0:1 - - [19/Nov/2020:11:04:53 -0600] "GET /JojoShack/search.html HTTP/1.1" 200 1488
0:0:0:0:0:0:0:1 - - [19/Nov/2020:11:04:56 -0600] "GET /JojoShack/search.html HTTP/1.1" 200 1488
0:0:0:0:0:0:0:1 - - [19/Nov/2020:11:05:09 -0600] "GET /JojoShack/search.html HTTP/1.1" 200 1487
0:0:0:0:0:0:0:1 - - [19/Nov/2020:11:05:09 -0600] "GET /JojoShack/search.html HTTP/1.1" 200 1487
0:0:0:0:0:0:0:1 - - [19/Nov/2020:11:05:38 -0600] "GET /JojoShack/search.html HTTP/1.1" 200 1500
0:0:0:0:0:0:0:1 - - [19/Nov/2020:11:05:50 -0600] "GET /JojoShack/search.html HTTP/1.1" 200 1548
0:0:0:0:0:0:0:1 - - [19/Nov/2020:11:06:21 -0600] "GET /JojoShack/search.html HTTP/1.1" 200 1545
0:0:0:0:0:0:0:1 - - [19/Nov/2020:11:06:29 -0600] "GET /JojoShack/search.html HTTP/1.1" 200 1533
0:0:0:0:0:0:0:1 - - [19/Nov/2020:11:06:34 -0600] "GET /JojoShack/search.html HTTP/1.1" 200 1533
0:0:0:0:0:0:0:1 - - [19/Nov/2020:11:06:35 -0600] "GET /JojoShack/search.html HTTP/1.1" 200 1524
0:0:0:0:0:0:0:1 - - [19/Nov/2020:11:06:38 -0600] "GET /JojoShack/search.html HTTP/1.1" 200 1524
0:0:0:0:0:0:0:1 - - [19/Nov/2020:11:06:39 -0600] "GET /JojoShack/search.html HTTP/1.1" 200 1524
0:0:0:0:0:0:0:1 - - [19/Nov/2020:11:06:48 -0600] "GET /JojoShack/search.html HTTP/1.1" 200 1513
0:0:0:0:0:0:0:1 - - [19/Nov/2020:11:06:59 -0600] "GET /JojoShack/search.html HTTP/1.1" 200 1513
0:0:0:0:0:0:0:1 - - [19/Nov/2020:11:07:04 -0600] "GET /JojoShack/search.html HTTP/1.1" 200 1513
0:0:0:0:0:0:0:1 - - [19/Nov/2020:11:07:08 -0600] "GET /JojoShack/search.html HTTP/1.1" 200 1545
0:0:0:0:0:0:0:1 - - [19/Nov/2020:11:08:58 -0600] "GET /JojoShack/search.html HTTP/1.1" 200 1558
0:0:0:0:0:0:0:1 - - [19/Nov/2020:11:09:25 -0600] "GET /JojoShack/search.html HTTP/1.1" 200 1595
0:0:0:0:0:0:0:1 - - [19/Nov/2020:11:09:30 -0600] "GET /JojoShack/search.html HTTP/1.1" 200 1595
0:0:0:0:0:0:0:1 - - [19/Nov/2020:11:10:00 -0600] "GET /JojoShack/search.html HTTP/1.1" 200 1613
0:0:0:0:0:0:0:1 - - [19/Nov/2020:11:10:04 -0600] "GET /JojoShack/search.html HTTP/1.1" 200 1613
0:0:0:0:0:0:0:1 - - [19/Nov/2020:11:10:21 -0600] "GET /JojoShack/search.html HTTP/1.1" 200 1613
0:0:0:0:0:0:0:1 - - [19/Nov/2020:11:10:24 -0600] "GET /JojoShack/search.html HTTP/1.1" 200 1613
0:0:0:0:0:0:0:1 - - [19/Nov/2020:11:10:56 -0600] "GET /JojoShack/aboutus.html HTTP/1.1" 200 1682
0:0:0:0:0:0:0:1 - - [19/Nov/2020:11:10:59 -0600] "GET /JojoShack/search.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2020:11:11:03 -0600] "GET /JojoShack/search.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2020:11:11:58 -0600] "GET /JojoShack/search.html HTTP/1.1" 200 1612
0:0:0:0:0:0:0:1 - - [19/Nov/2020:11:12:00 -0600] "GET /JojoShack/input.html HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Nov/2020:11:12:16 -0600] "GET /JojoShack/search.html HTTP/1.1" 200 1547
0:0:0:0:0:0:0:1 - - [19/Nov/2020:11:13:52 -0600] "GET /JojoShack/input.html HTTP/1.1" 200 606
0:0:0:0:0:0:0:1 - - [19/Nov/2020:11:14:08 -0600] "GET /JojoShack/input.html HTTP/1.1" 200 643
0:0:0:0:0:0:0:1 - - [19/Nov/2020:11:15:10 -0600] "GET /JojoShack/input.html HTTP/1.1" 200 913
0:0:0:0:0:0:0:1 - - [19/Nov/2020:11:15:12 -0600] "GET /action_page.php?fname=&lname= HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [19/Nov/2020:11:16:29 -0600] "GET /JojoShack/input.html HTTP/1.1" 200 918
0:0:0:0:0:0:0:1 - - [19/Nov/2020:11:16:42 -0600] "GET /JojoShack/input.html HTTP/1.1" 200 922
